Date,Num_Rides
2023-07-24,89904
2023-07-25,102878
2023-07-26,109255
2023-07-27,112863
2023-07-28,103060
2023-07-29,97580
2023-07-30,88221
2023-07-31,85987
2023-08-01,98387
2023-08-02,101581
2023-08-03,103025
2023-08-04,92055
2023-08-05,93117
2023-08-06,81141
2023-08-07,83589
2023-08-08,95660
2023-08-09,100223
2023-08-10,104847
2023-08-11,92468
2023-08-12,90486
2023-08-13,80637
2023-08-14,83588
2023-08-15,93189
2023-08-16,99562
2023-08-17,100030
2023-08-18,89969
2023-08-19,90381
2023-08-20,78346
2023-08-21,79909
2023-08-22,86919
2023-08-23,92261
2023-08-24,95449
2023-08-25,89251
2023-08-26,90883
2023-08-27,81571
2023-08-28,78296
2023-08-29,93828
2023-08-30,92289
2023-08-31,91238
